"DateTime";"Índice de Precios del Productor (IPP)"
"1999-06-30 05:00:00";43,87
"1999-07-31 05:00:00";44,59
"1999-08-31 05:00:00";45,24
"1999-09-30 05:00:00";45,71
"1999-10-31 05:00:00";46,27
"1999-11-30 05:00:00";46,89
"1999-12-31 05:00:00";47,41
"2000-01-31 05:00:00";48,07
"2000-02-29 05:00:00";49,19
"2000-03-31 05:00:00";49,87
"2000-04-30 05:00:00";50,36
"2000-05-31 05:00:00";50,83
"2000-06-30 05:00:00";51,1
"2000-07-31 05:00:00";51,5
"2000-08-31 05:00:00";51,68
"2000-09-30 05:00:00";52,27
"2000-10-31 05:00:00";52,05
"2000-11-30 05:00:00";52,01
"2000-12-31 05:00:00";52,09
"2001-01-31 05:00:00";53,01
"2001-02-28 05:00:00";53,99
"2001-03-31 05:00:00";54,43
"2001-04-30 05:00:00";55,37
"2001-05-31 05:00:00";55,97
"2001-06-30 05:00:00";55,57
"2001-07-31 05:00:00";55,37
"2001-08-31 05:00:00";55,37
"2001-09-30 05:00:00";55,48
"2001-10-31 05:00:00";54,91
"2001-11-30 05:00:00";54,67
"2001-12-31 05:00:00";54,78
"2002-01-31 05:00:00";55,1
"2002-02-28 05:00:00";55,32
"2002-03-31 05:00:00";55,86
"2002-04-30 05:00:00";56,29
"2002-05-31 05:00:00";56,78
"2002-06-30 05:00:00";56,96
"2002-07-31 05:00:00";57,32
"2002-08-31 05:00:00";58,09
"2002-09-30 05:00:00";59,37
"2002-10-31 05:00:00";60,16
"2002-11-30 05:00:00";59,78
"2002-12-31 05:00:00";60,34
"2003-01-31 05:00:00";61,33
"2003-02-28 05:00:00";62,29
"2003-03-31 05:00:00";62,58
"2003-04-30 05:00:00";62,96
"2003-05-31 05:00:00";62,86
"2003-06-30 05:00:00";62,72
"2003-07-31 05:00:00";62,92
"2003-08-31 05:00:00";63,1
"2003-09-30 05:00:00";62,93
"2003-10-31 05:00:00";63,02
"2003-11-30 05:00:00";63,42
"2003-12-31 05:00:00";63,69
"2004-01-31 05:00:00";64,41
"2004-02-29 05:00:00";65,03
"2004-03-31 05:00:00";65,43
"2004-04-30 05:00:00";65,92
"2004-05-31 05:00:00";66,95
"2004-06-30 05:00:00";67,18
"2004-07-31 05:00:00";66,85
"2004-08-31 05:00:00";66,97
"2004-09-30 05:00:00";67,25
"2004-10-31 05:00:00";68
"2004-11-30 05:00:00";67,83
"2004-12-31 05:00:00";67,24
"2005-01-31 05:00:00";67,85
"2005-02-28 05:00:00";68,7
"2005-03-31 05:00:00";69,95
"2005-04-30 05:00:00";69,75
"2005-05-31 05:00:00";69,75
"2005-06-30 05:00:00";70,1
"2005-07-31 05:00:00";69,99
"2005-08-31 05:00:00";70,18
"2005-09-30 05:00:00";69,83
"2005-10-31 05:00:00";70,16
"2005-11-30 05:00:00";69,84
"2005-12-31 05:00:00";69,74
"2006-01-31 05:00:00";70,57
"2006-02-28 05:00:00";70,61
"2006-03-31 05:00:00";71,43
"2006-04-30 05:00:00";73,16
"2006-05-31 05:00:00";73,95
"2006-06-30 05:00:00";74,53
"2006-07-31 05:00:00";75,2
"2006-08-31 05:00:00";74,96
"2006-09-30 05:00:00";74,69
"2006-10-31 05:00:00";74,4
"2006-11-30 05:00:00";74,08
"2006-12-31 05:00:00";74,37
"2007-01-31 05:00:00";74,72
"2007-02-28 05:00:00";74,79
"2007-03-31 05:00:00";74,98
"2007-04-30 05:00:00";74,94
"2007-05-31 05:00:00";74,37
"2007-06-30 05:00:00";73,88
"2007-07-31 05:00:00";74,09
"2007-08-31 05:00:00";74,97
"2007-09-30 05:00:00";75,91
"2007-10-31 05:00:00";75,83
"2007-11-30 05:00:00";77,01
"2007-12-31 05:00:00";77,92
"2008-01-31 05:00:00";79,01
"2008-02-29 05:00:00";79,92
"2008-03-31 05:00:00";79,69
"2008-04-30 05:00:00";80
"2008-05-31 05:00:00";81,12
"2008-06-30 05:00:00";82,26
"2008-07-31 05:00:00";84,91
"2008-08-31 05:00:00";84,8
"2008-09-30 05:00:00";86,99
"2008-10-31 05:00:00";88,36
"2008-11-30 05:00:00";87,42
"2008-12-31 05:00:00";84,5
"2009-01-31 05:00:00";82,22
"2009-02-28 05:00:00";85,18
"2009-03-31 05:00:00";85,29
"2009-04-30 05:00:00";86,81
"2009-05-31 05:00:00";85,89
"2009-06-30 05:00:00";85,57
"2009-07-31 05:00:00";86,14
"2009-08-31 05:00:00";85,46
"2009-09-30 05:00:00";84,99
"2009-10-31 05:00:00";84,12
"2009-11-30 05:00:00";85,02
"2009-12-31 05:00:00";86,34
"2010-01-31 05:00:00";88,13
"2010-02-28 05:00:00";88,05
"2010-03-31 05:00:00";88,28
"2010-04-30 05:00:00";88,94
"2010-05-31 05:00:00";89,96
"2010-06-30 05:00:00";88,74
"2010-07-31 05:00:00";88,06
"2010-08-31 05:00:00";87,63
"2010-09-30 05:00:00";87
"2010-10-31 05:00:00";87,01
"2010-11-30 05:00:00";89,02
"2010-12-31 05:00:00";91,31
"2011-01-31 05:00:00";92,46
"2011-02-28 05:00:00";93,94
"2011-03-31 05:00:00";95,53
"2011-04-30 05:00:00";96,22
"2011-05-31 05:00:00";97,67
"2011-06-30 05:00:00";96,34
"2011-07-31 05:00:00";95,43
"2011-08-31 05:00:00";95,74
"2011-09-30 05:00:00";96,38
"2011-10-31 05:00:00";98,18
"2011-11-30 05:00:00";98,83
"2011-12-31 05:00:00";99,21
"2012-01-31 05:00:00";97,67
"2012-02-29 05:00:00";97,81
"2012-03-31 05:00:00";97,66
"2012-04-30 05:00:00";98,1
"2012-05-31 05:00:00";97,68
"2012-06-30 05:00:00";95,12
"2012-07-31 05:00:00";93,55
"2012-08-31 05:00:00";94,89
"2012-09-30 05:00:00";96,39
"2012-10-31 05:00:00";96,26
"2012-11-30 05:00:00";95,5
"2012-12-31 05:00:00";94,39
"2013-01-31 05:00:00";94,24
"2013-02-28 05:00:00";94,77
"2013-03-31 05:00:00";95,69
"2013-04-30 05:00:00";95,02
"2013-05-31 05:00:00";94,77
"2013-06-30 05:00:00";95,5
"2013-07-31 05:00:00";95,21
"2013-08-31 05:00:00";95,48
"2013-09-30 05:00:00";95,93
"2013-10-31 05:00:00";94,73
"2013-11-30 05:00:00";94,53
"2013-12-31 05:00:00";94,32
"2014-01-31 05:00:00";95,18
"2014-02-28 05:00:00";96,57
"2014-03-31 05:00:00";98,16
"2014-04-30 05:00:00";98,04
"2014-05-31 05:00:00";97,86
"2014-06-30 05:00:00";97,4
"2014-07-31 05:00:00";97,08
"2014-08-31 05:00:00";97,82
"2014-09-30 05:00:00";98,45
"2014-10-31 05:00:00";98,71
"2014-11-30 05:00:00";98,06
"2014-12-31 05:00:00";100
"2015-01-31 05:00:00";98,72
"2015-02-28 05:00:00";96,77
"2015-03-31 05:00:00";100,44
